name_a,name_b
ERI, Eritrea (ISO 3166 trigram)
ERLAWS, Eastern Ruapehu Lahar Alarm and Warning System
ERN, Eritrean nakfa (ISO 4217 currency code)
EROS, Earth Resources Observation System
ERP, Engineer Regulating Point
ERR, Eesti Rahvusringhääling
ERS, Earth Resources Survey
ERTS, Earth Resources Technology Satellite (became Landsat)
ERV, Endogenous RetroVirus
es, Spanish language (ISO 639-1 code)
ESD, ElectroStatic Discharge
ESDP, European Security and Defence Policy
ESE, East South-East
ESH, Western Sahara (ISO 3166 trigram)
ESL, English as a Second Language
ESM, Electronic warfare Support Measures
ESO, European Southern Observatory
ESOL, English for Speakers of Other Languages
ESPGHAN,"European Society for Paediatric Gastroenterology, Hepatology and Nutrition"
ESPN, Entertainment and Sports Programming Network
est, Estonian language (ISO 639-2 code)
ESU, Emergency Services Unit
ESV, Engineer Support Vehicle
et, Estonian language (ISO 639-1 code)
"ETA- Estimated Time of Arrival, Euzkadi Ta Azkatasuna (""etta"", Basque, ""Basque Homeland and Freedom""),et al."," et alii/aliae/alia (Latin, ""and others"")"
ETB, Ethiopian Birr (ISO 4217 currency code)
ETF," Emergency Task Force (a special police unit, also jocularly said to stand for Extra-Thick Fuzz)"
ETH, Ethiopia (ISO 3166 trigram)
ETI, Extra-Terrestrial Intelligence
ETLA, Extended TLA
ETOPS, Extended-range Twin-engine Operational Performance Standards (aviation)
ETT, Embedded Training Team
eu, Basque language (ISO 639-1 code)
Eu, Europium
EUCOM, (U.S.) European Command
EULA," End-User License Agreement (""you-lah"")"
EUR, euro (ISO 4217 currency code)
eus, Basque language (ISO 639-2 code)
EUUSA, European Union and United States of America
EV, Exavolt
EVIL, Electronic viewfinder (with) interchangeable lens (a type of digital camera)
EW, Electronic Warfare -  Exawatt
ewe, Ewe language (ISO 639-2 code)
EWR, Newark Liberty International Airport (IATA airport code)
EWSD," Elektronisches Wählsystem Digital (German, ""Electronic Digital Switching System"")"
EWTN, Eternal Word Television Network
EXFOR, Experimental Force (military)
EXREP, Expeditious Repair (SM&R code)
EZ, Czech Republic (FIPS 10-4 country code) -  Extraction Zone
EZLN," Ejército Zapatista de Liberación Nacional (Spanish, ""Zapatista Army of National Liberation"")"
f, Femto
F, Farad - Fluorine
fa, Persian language (ISO 639-1 code)
FA,Food Addicts in Recovery Anonymous
fA, Femtoampere
FA, Field Artillery - Financial Aid - Football Association (England)
FAA, U.S. Federal Aviation Administration - Financial Aid Administrator - Fleet Air Arm - Functional Area Analysis
FAAD, Forward Area Air Defence
FAADEZ, Forward Area Air Defence Engagement Zone
FAAN, Fellow of the American Academy of Neurology
FAAFP,Fellow of the American Academy of Family Physicians
FAAN, Fellow of the American Academy of Nursing
FAAQ,(a/i) Frequently Asked and Anticipated Questions (cf. FAQ)
FAASV, Field Artillery Ammunition Supply Vehicle
FAB, Feline Advisory Bureau (UK feline charity)
FAC, Forward Air Controller - Front of Allies for Change - Frontal Affinity Chromatography - Full Aperture Calibrator
FACA, (US) Federal Advisory Committee Act
FACH, Fuerza Aérea de Chile
FACN, Fellow of the American College of Nutrition
FACP, Fellow of the American College of Physicians
FACS, Fellow of the American College of Surgeons -  Formal Aspects of Computing Science - Fluorescent-activated cell sorting
FACTS, Flexible Alternating Current Transmission System
FAD, Flavin Adenine Dinucleotide - Fuck A Duck -  Funding Authorization Document
FAH, Federation of American Hospitals - Fine Arts and Humanities - Foreign Affairs Handbook
FAI," Fédération Aéronautique Internationale (French, ""International Aeronautics Federation"") - Football Association of Ireland"
FAM, Foreign Affairs Manual
fao, Faroese language (ISO 639-2 code)
FAO, Food and Agriculture Organization
FAPA,Fellow of the American Psychological Association
FAPHA,Fellow of the American Public Health Association
FAQ,"(a/i) Frequently Asked Questions (sometimes pronounced ""fak"")"
FARC," Fuerzas Armadas Revolucionarias de Colombia (Spanish, ""Revolutionary Armed Forces of Colombia"")"
FARDC," ""Military of the Democratic Republic of the Congo"
FARP, Forward Arming and Refuelling Point / Forward Area Rearm/refuel Point
fas, Persian language (ISO 639-2 code)
FAS, Federation of American Scientists - Fetal Alcohol Syndrome
FASCAM, Family of Scatterable Mines[1]
FASD, Fetal Alcohol Spectrum Disorder
FASEB,(a/i) Federation of American Societies for Experimental Biology
FAT, Field Artillery Tractor - File Allocation Table
FAVS, Future Armoured Vehicle System
FAW, Football Association of Wales
FB,"Facebook, An on-line social network"
FBCS, Fellow of the British Computer Society
FBI, Federal Bureau of Investigation
FBIS, Foreign Broadcast Information Service
FBIDST, Fellow of the British Institute of Dental and Surgical Technologists
FBM, Board foot
fC, Femtocoulomb
FCC, U.S. Federal Communications Commission
FCE, First Certificate in English
FCF, Financial Free Cash Flow
FCLA,Fraud Claims Law Associate
FCO, UK Foreign and Commonwealth Office
FCW, Florida Championship Wrestling
FCZ, Forward Combat Zone
FD, Falun Dafa
FDA, Food and Drug Administration (U.S.)
FDC, Federal Detention Center (U.S.) - Fire Direction Centre
FDDI, Fibre Distributed Data Interface
FDBK,(I) Feedback
FDR, Flight Data Recorder - Franklin Delano Roosevelt
Fe, Iron (Latin Ferrum)
FE," Fully Exposed (armoured vehicle target, as opposed to Hull-Down)"
FEAR, First Encounter Assault Recon - False Evidence Appears Real
FEAST,(a/i) Forum for European-Australian Science and Technology Cooperation
FEATS, Festival of European Anglophone Theatrical Societies link title
FEBA, Forward Edge of the Battle Area
FED,(a/i) Field emission display
FEDEP, Federation Development Process (Simulation)
FEF, Frontal Eye Field (neurophysiology)
FEI," Fédération équestre internationale (French, ""International Federation for Equestrian Sports"")"
FEMEXFUT," Federación Mexicana de Fútbol Asociación (Spanish, ""Mexican Association Football Federation"")"
FENAFUTH," Federación Nacional Autónoma de Fútbol de Honduras (Spanish, ""National Autonomous Football Federation of Honduras"")"
FENS,(a/i) Federation of European Neuroscience Societies
FEP, Firepower Enhancement Program - Fleet satellite (FLTSAT) Extremely high frequency (EHF) Package
FEPAFUT," Federación Panameña de Fútbol (Spanish, ""Panamanian Football Federation"")"
FES, Flywheel Energy Storage
FEST, Frankfurt English Speaking Theatre link title
FET, Field-effect transistor
FEZ,(a/i) Fighter Engagement Zone
ff, Fula language (ISO 639-1 code)
fF, Femtofarad
FFB, Frum From Birth (referring to an observant Jew born into a religiously observant family)
FFC, Free For Chat
FFE, Fukuoka Futures Exchange
FFF," Fédération française de football (French, ""French Football Federation"")"
FFG, Guided Missile Frigate (hull classification symbol)
FFOV, Forward Field Of View
FFR," Fédération française de rugby (French, ""French Rugby (Union) Federation"")"
FFS, For Fuck's Sake
FG, Falun Gong
fg, Femtogram
FG, Fog (METAR Code) - French Guiana (FIPS 10-4 territory code)
FGR, Flickr Group Roulette
fH, Femtohenry
FHFIF, Foster's Home for Imaginary Friends
FHI," Family Health International, Fuji Heavy Industries, Ltd."
fi, Finnish language (ISO 639-1 code)
FI, Finland (ISO 3166 digram; FIPS 10-4 country code)
FIA," Fédération internationale de l'automobile (French ""International Automobile Federation"")"
FIAT," Fabbrica Italiana Automobili Torino (Italian ""Italian Car Factory of Turin"")"
FIB," Fucking Illinois Bastard (Wisconsin slang, variants exist)"
FIBA,"originally  Fédération internationale de basket-ball amateur (French, ""International Amateur Basketball Federation""); since 1989,  Fédération internationale de basket-ball"
FIBUA,(i/a) Fighting In Built-Up Areas
FIC, Fellowship for Intentional Community
FID, Foreign Internal Defence
FIE, Fly-In Echelon
FIFA," Fédération internationale de football association (French, ""International Association Football Federation"")"
FIFe," Fédération internationale féline (French, ""International Feline Federation"")"
FIFO," First In, First Out"
FIFRA," Federal Insecticide, Fungicide, and Rodenticide Act"
FIGJAM," Fuck I'm Good, Just Ask Me"
fij, Fijian language (ISO 639-2 code)
FILA," Fédération internationale des luttes associées (French, ""International Federation of Associated Wrestling Styles""), former name of the sport governing body now known as United World Wrestling"
FILO," First In, Last Out (see also LIFO)"
FIMPT, Fellow of the Institute of Maxillofacial Prosthetists and Technologists
fin, Finnish language (ISO 639-2 code)
FIN, Finland (ISO 3166 trigram)
FINA,"(p/a) Fédération internationale de natation (French, ""International Swimming Federation"")"
FIPS, Federal Information Processing Standard
FIRES,Fever Induced Refractory Epilepsy Syndrome or Febrile Infection-Related Epilepsy Syndrome
FIS,"(a/i) Fédération internationale de ski (French ""International Ski Federation"")"
FISA," Fédération Internationale des Sociétés d'Aviron (French, ""International Federation of Rowing Associations"")"
FISH, Fluorescence In-Situ Hybridisation
FiST, Fire Support Team
FITS, Flexible Image Transport System
FIU, Florida International University
fj, Fijian language (ISO 639-1 code)
fJ, Femtojoule
FJ, Fiji (ISO 3166 digram; FIPS 10-4 country code)
FJD, Fiji dollar (ISO 4217 currency code)
FJI, Fiji (ISO 3166 trigram)
FJN, Financial Job Network
fK, Femtokelvin
FK, Falkland Islands (ISO 3166 digram; FIPS 10-4 territory code)
FKP, Falkland Islands pound (ISO 4217 currency code)
FKSM, Fort Knox Supplemental Manual
FKT, Fastest Known Time
fl," floruit (Latin, ""living"") (genealogy)"
fL, Femtolitre
FL, Florida (postal symbol)
FLA, Florida -  Front Line Assembly - Future Large Aircraft
FLAB, Four-letter abbreviation
FLAC,(a/i) Free Lossless Audio Codec
FLAC,(a/i) Free Legal Advice Centres
FLAK," FLugAbwehrKanone (German for ""Anti-Aircraft Guns"")"
FLB, Forward Logistics Base
FLET,(a/i) Forward Line of Enemy Troops
FLG, Falun Gong
FLIP, Flight Information Publication
FLIR, Forward Looking InfraRed (sensor)
FLK, Falkland Islands (ISO 3166 trigram)
FLOT,(a/i) Forward Line of Own Troops
FLSA, Fair Labor Standards Act
FLQ," Front de libération du Québec (French for ""Québec Liberation Front"")"
FLQ, Free Legal Questions
FLTSAT, Fleet Satellite
FLTSATCOM, Fleet Satellite Communication System
FLUBOS," Fat, Lazy, Useless, Bag Of Shit"
FM, Factory Mutual http://fmglobal.com
fm, Femtometre
Fm, Fermium
FMCA, Federal Magistrates' Court of Australia (used for citing decisions of the FMC other than family law decisions)
FMCAfam, Federal Magistrates' Court of Australia: family (used for citing family law decisions of the FMC)
FME, Formal Methods Europe
FMECA, Failure Modes and Effect Criticality Analysis
FMJD, Fédération Mondiale du Jeu de Dames[2]
FMLA, Family Medical Leave Act
Fmr,"Former (As in ""Fmr. president"")"
fMRI, Functional Magnetic Resonance Imaging
FMSF, False Memory Syndrome Foundation
FMTV, Family of Medium Tactical Vehicles
FMCG, (Fast Moving Consumer Goods)
fN, Femtonewton
FNA, Functional Needs Analysis
fo, Faroese language (ISO 639-1 code)
FO, Faroe Islands (ISO 3166 digram; FIPS 10-4 territory code) -  Force Operations (military) - Forward Observer - Frame Optional (military symbology)
FOAD, Fuck Off And Die
FOAF, Friend Of A friend
FoB, Free On Board (shipping)
FOB,(i/a) Forward Operating Base
FOC, Full Operational Capability - First of Class
FoE, Friends of the Earth
FOGC, Federal Oil and Gas Council
FOH, Front Of House
FOIA, Freedom of Information Act
FOM, Federation Object Model
FONSI, Finding of No Significant Impact
FOO, Forward Observation Officer
FOR, Field Of Regard - Frame Of Reference
Fortran, The IBM Mathematical FORmula TRANslating System (programming language)
FOS, Florida Ornithological Society - Full Operational Status
FoS, Family of Systems
FOSE, Fallout 3 Script Extender
FOSE, Federal Office Systems Expo
FOT, Free on truck
FOTA, Fellow of the Orthodontic Technicians Association
FOTC,Flight of the Conchords
FOUO, For Official Use Only
FOV, Field Of View
FP, French Polynesia (FIPS 10-4 territory code)
fps," frames per second (motion pictures, television, computer graphics)"
FOOP, Friends Of Organ Pipes (Volunteer group)
FQ, Baker Island (FIPS 10-4 territory code) - French Southern and Antarctic Territories (ISO 3166 digram; obsolete 1979)
FQDN, Fully Qualified Domain Name
fr, French language (ISO 639-1 code)
Fr, Francium
FR, France (FIPS 10-4 country code; ISO 3166 digram)
fra, French language (ISO 639-2 code)
FRAGO, Fragmentary Order (military)
FRAND," Fair, reasonable, and non-discriminatory (concept in standards-setting and intellectual property law)"
FRICBM, Full Range ICBM
frr, North Frisian language (ISO 639-2 code)
FRO, Faroe Islands (ISO 3166 trigram)
FRSA, Fellow of the Royal Society of Art
fry, West Frisian language (ISO 639-2 code)
FRY, Federal Republic of Yugoslavia
fs, Femtosecond
fS, Femtosiemens
FSCL, Fire Support Co-ordination Line
FSE, Fire Support Element
FSF, Free Software Foundation
FSH, Follicle Stimulating Hormone
FSI, Fuel Stratified Injection
FSK," Federal'naya Sluzhba Kontrrazvedki (Федера́льная Слу́жба Контрразве́дки, Russian ""Federal Counterintelligence Service"", succeeded the KGB in 1991)"
FSS, Fire Support Station
FSSP, Families of Structurally Similar Proteins
FSTC, Foreign Science Technology Center (now NGIC)
fT, Femtotesla
FTC, Federal Trade Commission
FTE, Full Time Equivalent
FTL, Faster Than Light
FTP, File Transfer Protocol
FTSE,"(a/i) Financial Times Stock Exchange (""footsie"")"
FTW," For The Win (a commonly used phrase used online to indicate success) F@#K The World, Forever Together Where ever (gang slogan)"
FTS, Flight Termination System used during some rocket launches
FTS, Fuck That Shit
FU, Smoke (METAR Code)
FUBAR, Fucked/Fouled Up Beyond All Recognition/Repair
FUCK," For, Unlawful, Carnal, Knowledge (Van Halen album title)"
FUD," Fear, Uncertainty & Doubt (marketing strategy)"
ful, Fula language (ISO 639-2 code)
fV, Femtovolt
fW, Femtowatt
FW, Forward
FWC, Football World Cup
FWF, Fixed Word Format
FWI, French West Indies
FWIW, For What It's Worth
FWS, U.S. Fish and Wildlife Service
FWT, Fresh Water Tank
FX, Firefox - Fox Extended -  Metropolitan France (ISO 3166 digram; obsolete 1997) - Special effect
FXX, Metropolitan France (ISO 3166 trigram; obsolete 1997)
fy, West Frisian language (ISO 639-1 code)
FY, Fiscal Year -  Former Yugoslav Republic of Macedonia (NATO country code)
FYA, For Your Agenda
FYDP, Five-Year Defense Plan (U.S.)
FYI, For Your Information
FYROM, Former Yugoslav Republic of Macedonia
FZDZ, Freezing Drizzle (METAR Code)
FZFG, Freezing Fog (METAR Code)
FZRA, Freezing Rain (METAR Code)
g, Gram
G, Gauss -  General Audiences (movie rating)
G1," Assistant Chief-of-Staff, Personnel"
G2," Assistant Chief-of-Staff, Intelligence"
G3,"many, including Heckler & Koch G3; see entry -  Assistant Chief-of-Staff, Operations and Plans"
G4," Generation Four PowerPC microprocessor -  Assistant Chief-of-Staff, Logistics"
G5," Generation Five PowerPC microprocessor -  Assistant Chief-of-Staff, Public Affairs"
G6," Assistant Chief-of-Staff, Information Technology -  Group of 6 (France, Germany, United States, Japan, United Kingdom, Italy) (1975)"
G7," Assistant Chief-of-Staff, Training -  Group of 7 (G6 + Canada) (1976)"
G8," Assistant Chief-of-Staff, Finance -  Group of 8 (G7 + Russia) (1998)"
G9," Assistant Chief-of-Staff, Civil-Military Co-operation (CIMIC)"
G10," Group of 10 (G7 + Belgium, Netherlands, Sweden, Switzerland; numbering 11 in fact)"
G15," Group of 15 (subset of G77, formed 1989: Algeria, Argentina, Brazil, Chile, Egypt, India, Indonesia, Jamaica, Kenya, Nigeria, Malaysia, Mexico, Peru, Senegal, Sri Lanka, Venezuela and Zimbabwe; currently numbers 17)"
G20," Group of 20 (G8 + Argentina, Australia, Brazil, China, India, Indonesia, Mexico, Saudi Arabia, South Africa, South Korea, Turkey + current European Union presiding country) (1999)"
G24," Group of 24 (subset of G77, formed 1971: Algeria, Argentina, Brazil, Colombia, Côte d'Ivoire, Democratic Republic of the Congo, Egypt, Ethiopia, Gabon, Ghana, Guatemala, India, Iran, Lebanon, Mexico, Nigeria, Pakistan, Peru, Philippines, South Africa, Syria, Sri Lanka, Trinidad and Tobago and Venezuela)"
G77," Group of 77 (issued from the United Nations Conference on Commerce and Development, 1964; currently numbers 133)"
Ga, Gallium - Gigaannum
GA, Gabon (ISO 3166 digram) - The Gambia (FIPS 10-4 country code) -  Gamblers Anonymous - Georgia (postal symbol) - Gigaampere - Goa (Indian state code)
GAAR, General Anti-Avoidance Rule (tax evasion)
GAB, Gabon (ISO 3166 trigram)
GABA, Gamma-AminoButyric Acid
GAD, Generalized Anxiety Disorder
GAF, Garfield and Friends
GALCIT," Guggenheim Aeronautical Laboratory, California Institute of Technology"
GAO, U.S. Government Accountability Office
GAW, Global Atmospheric Watch
GB, Gabon (FIPS 10-4 country code) - United Kingdom of Great Britain and Northern Ireland (ISO 3166 digram) [glamour boy 7-9/10]
GBBC, Great (Global) Backyard Bird Count
GBE, Knight/Dame Grand Cross of the Order of the British Empire
GBP, United Kingdom pound sterling (ISO 4217 currency code)
GBR, United Kingdom of Great Britain and Northern Ireland (ISO 3166 trigram)
GBU, Glide-Bomb Unit - Global Business Unit
GCA, Graduate in Claims Administration
GCCS,"(i/a) Global Command and Control System (""geeks"")"
GCD,see entry
GCF, Greatest Common Factor
GCI, Ground-controlled interception
GCN, Gamma-ray burst Coordination Network
GCS, Global Coordinate System
GCSE, General Certificate of Secondary Education (UK)
gd, Scottish Gaelic language (ISO 639-1 code)
Gd, Gadolinium
GD, Grenada (ISO 3166 digram)
GDC, Game Developers Conference - General Dental Council
GDL, Game Definition Language
GDP, General Dental Practitioner (UK) - Gross Domestic Product
GDR, German Democratic Republic (cf. DDR)
GDR, General Distribution Release (Microsoft Term for a software service release; between Hotfix and Service Pack)
GDW, Game Designers Workshop
Ge, Germanium
GE, General Electric - Genetic Engineering (cf. GM) -  Georgia (ISO 3166 digram)
GEBCO, General Bathymetric Chart of the Oceans
GEC, Great Engineering Challenge
GED, General Educational Development (high school equivalency credential in the U.S. and Canada)
GEEP, Geophysical Equipment Exploration Platform
GEL, Georgian lari (ISO 4217 currency code) - Gilbert and Ellice Islands (ISO 3166 trigram; obsolete 1977)
GEMA, Gas and Electricity Markets Authority - Georgia Emergency Management Agency -  Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte (German performance rights organisation) -  Global Engine Manufacturing Alliance
GEN, Full General (four stars) in the U.S. Army
GEO, Geostationary Earth Orbit -  Georgia (ISO 3166 trigram)
GEOS, Graphical Environment Operating System
GEQ," Equatorial Guinea (IOC trigram, but not FIFA or ISO 3166)"
GER," Germany (IOC and FIFA trigram, but not ISO 3166)"
Gestapo," GEheime STAatsPOlizei (German ""secret state police"")"
GeV, Gigaelectron-volt
GEV, Ground Effect Vehicle
GFCI, Ground Fault Circuit Interruptor (aka GFI)
GFDL, GNU Free Documentation License
GFI, Ground Fault Interruptor (aka GFCI)
GFL, German Football League (Germany's Bundesliga for American football; the English-language name is used in German without translation)
GFN, Global Footprint Network
GFY," ""good for you"" or ""go fuck yourself"", depending on the context (Internet chat)"
GG, Georgia (FIPS 10-4 country code)
GGK,Good God Karma
GH, Ghana (ISO 3166 digram; FIPS 10-4 country code) - Gigahenry
GHA, Ghana (ISO 3166 trigram)
GHB, gamma-Hydroxybutyric acid
GHC, Ghanan cedi (ISO 4217 currency code)
Gi, Gibi
GI, Galvanised Iron - Gastro-Intestinal - General Issue -  Gibraltar (ISO 3166 digram; FIPS 10-4 territory code) -  Government Issue
GIB, Gibraltar (ISO 3166 trigram)
GIF, Graphics Interchange Format
GIG, Global Information Grid
GIGO, Garbage In Garbage Out (computing)
GIMP, GNU Image Manipulation Program
GIN, Guinea (ISO 3166 trigram) -  Guidelines International Network
GINK,Going Insane Not Knowing - orig. Colorado 2010 M.Kalfas
GINO, Godzilla In Name Only
GIP, Gibraltar pound (ISO 4217 currency code)
GIS, Geographic Information System -  Google Image Search
GISS,(a/i) General Impression of Size and Shape - Goddard Institute for Space Studies
GJ, Gigajoule - Grenada (FIPS 10-4 country code) - Gujarat (Indian state code)
GJD, Geocentric Julian Day
GK, Gigakelvin - Guernsey (FIPS 10-4 territory code)
gl, Galician language (ISO 639-1 code)
gla, Scottish Gaelic language (ISO 639-2 code)
GLAAD, Gay and Lesbian Alliance Against Defamation
GLAC, General Ledger Accounting Code
GLAST, Gamma-ray Large Area Space Telescope
GLBA, Gramm-Leach-Bliley Act
GLC, Gas-liquid chromatography
gle, Irish language (ISO 639-2 code)
glg, Galician language (ISO 639-2 code)
GLONASS," Globalnaya navigatsionnaya sputnikovaya sistema (Russian Глоба́льная Навигацио́нная Спу́тниковая Систе́ма, ""Global Navigation Satellite System"")"
GLP, Guadeloupe (ISO 3166 trigram)
GLUT,(a/i) OpenGL Utility Toolkit
glv, Manx language (ISO 639-2 code)
GLV, Gained Life Value
Gm, Gigametre
GmbH," Gesellschaft mit beschränkter Haftung (German, ""Company with limited liability"")"
GMD, Gambian dalasi (ISO 4217 currency code)
GMFSC, Ground Mobile Forces Satellite Communications
GMO, Genetically Modified Organism
GMPCS, Global Mobile Personal Communications by Satellite
gn, Guaraní language (ISO 639-1 code)
GNAS, Grand National Archery Society
GNB, Guinea-Bissau (ISO 3166 trigram)
GNF, Guinean franc (ISO 4217 currency code)
GNOME, GNU Network Object Model Environment
GNP, Gross National Product
GNQ, Equatorial Guinea (ISO 3166 trigram)
GnRH, Gonadotropin-Releasing Hormone
GNU, GNU's Not Unix
GO, Glorioso Islands (FIPS 10-4 territory code)
GOAT, Greatest of all time (LL Cool J album title)
GOC, General Officer Commanding
GOES, Geostationary Operational Environmental Satellite
GOP, Grand Old Party
gorp," granola, oats, raisins, peanuts (another name for trail mix), probably a backronym"
GOSC,(a/i) General Officer Steering Committee
GOSH, Great Ormond Street Hospital
GOSP, Gas/Oil Separation Plant
GOTS, Government off-the-shelf
GOYADIN," Get Off Your Arse, Do It Now (anti-procrastination mantra)"
GP, General Practitioner - General Purpose - Grand Prix -  Guadeloupe (ISO 3166 digram; FIPS 10-4 territory code)
GPA, Grade Point Average
GPC, Global Path Cache
GPG, GNU Privacy Guard
GPIB, General-Purpose Instrumentation/Interface Bus
GPL, GNU General Public License
GPMP, General Purpose Macro Processor
GPO, General Post Office
GPPC, Genetics and Public Policy Center
GPR, Ground-Penetrating Radar
GPS, General Problem Solver - Global Positioning System
GPT, GEC-Plessey Telecommunications - General Purpose Technology - Get Paid To website
GPU," Gosudarstvennoye Politicheskoye Upravlenie (Russian Государственное Политическое Управление, ""State Political Administration"") (1922-1934) - Graphics Processor Unit"
GR, Greece (FIPS 10-4 country code; ISO 3166 digram) - Hail (METAR Code)
GRAIL, Gravity Recovery and Interior Laboratory
GRAS, Generally recognized as safe (FDA list)
GRB, Gamma-Ray Burst
GRC, Greece (ISO 3166 trigram)
GRD, Grenada (ISO 3166 trigram)
grep," [search] Globally for Regular Expression, Print [lines]"
GRid,"Global Release Identifier, a music industry identifier from the RIAA and IFPI"
GRID, Gay-Related Immune Deficiency (original name of AIDS)
GriT, Girl raised in Texas (Woman presenting firm southern traits/beliefs)
GRL, Greenland (ISO 3166 trigram)
grn, Guaraní language (ISO 639-2 code)
GRP," Graphite-reinforced plastic, see Carbon-fiber-reinforced polymer"
GRU," Glavnoje Razvedyvatel'noje Upravlenije/Главное Разведывательное Управление (Russian, ""Main Intelligence Directorate"" [of the former Soviet and now Russian armed forces])"
Gs, Gigasecond
GSR, Gun Shot Residue
GSA, U.S. General Services Administration
GSD, Graphical Situation Display
GSGB,(God send glamour boy 9-10/10)
GSK, GlaxoSmithKline [good sexual karma]
GSN,(a/i) Game Show Network
GSO, General Services Officer (U.S. Department of State)
GSOH, Good Sense Of Humour
GSP,Georges St-Pierre (Canadian MMA fighter)
GSS, Generic Security Services
GST," Goods and Services Tax (Australia, Canada, and other countries)"
GSW, Gunshot wound
GT, Gigatesla -  Gran Turismo - Grand Touring -  Guatemala (FIPS 10-4 country code; ISO 3166 digram)
GTA, Grand Theft Auto
GTB," Get to bed, namely to get a new job after a long time of searching, usually following a phone call"
GTC," Gran Telescopio Canarias (Spanish, Canaries Great Telescope)"
GTD, Getting Things Done
GTG, Got To Go (Internet chat)
GTK, Good To Know (Internet chat)
GTGN, Getty Thesaurus of Geographic Names
GTM, Guatemala (ISO 3166 trigram)
GTQ, Guatemalan quetzal (ISO 4217 currency code)
GTV, Gross Tumor Volume quetzal (ISO 4217 currency code)
gu, Gujarati language (ISO 639-1 code)
GU, Guam (postal symbol; ISO 3166 digram)
GUA," Guatemala (IOC and FIFA trigram, but not ISO 3166)"
GUF, French Guiana (ISO 3166 trigram)
GUI," Graphical user interface (""goo-ey"")"
GUILT, Gangliated Utrophin Immuno Latency Toxin
guj, Gujarati language (ISO 639-2 code)
GULCR, Grupo de Usuarios de Linux de Costa Rica
Gulag," Glavnoye Upravleniye ispravitelno-trudovykh LAGerei i kolonii (Russian Главное Управление Исправительно—Трудовых Лагерей и колоний, ""Main Directorate of Corrective Labour Camps"")"
GUT, Grand Unification Theory
gv, Manx language (ISO 639-1 code)
GV, Gigavolt - Guinea (FIPS 10-4 country code)
GW, Games Workshop - Germ Warfare -  Gigawatt -  Guided Weapon -  Guinea-Bissau (ISO 3166 digram)
GWARS, Ground Warfare System (simulation)
GWAS, Grand Western Archery Society
GWOT, Global War on Terrorism
GWS, Gulf War Syndrome - Greater Western Sydney
GXA, Global XML Web Services Architecture
GXE, Gene-enivronment interaction
GXF, General Exchange Format
GXH, IATA code of Gannan Xiahe Airport
GXL, Graph eXchange Language
GXM, Matrox Graphics eXpansion Module
GXP, Grid Exit Point -  Global Xchange Programme -  Indication of highest performance level on some Pontiac vehicles
GxP," Good X Practice (X can mean: clinical, manufacturing, pharmaceutical, etc.)"
GXY, IATA code of Greeley-Weld County Airport
GY, Guyana (FIPS 10-4 country code; ISO 3166 digram)
GYD, Guyana dollar (ISO 4217 currency code)
GYY, Gary/Chicago International Airport (IATA Airport Code)
GZ, Gaza Strip (FIPS 10-4 territory code) -  Ground Zero
GZK, Greisen-Zatsepin-Kuzmin cut-off (cosmic ray energies)
h, Hecto
H, Henry - Hydrogen
ha, Hausa language (ISO 639-1 code) - Hectare
HA, Haiti (FIPS 10-4 country code) -  High Availability
HAARP, High Frequency Active Auroral Research Program
HAART, Highly Active Anti-Retroviral Therapy
HAI, Human Awareness Institute
HAL, Hardware Abstraction Layer
HALO, High Altitude Low Opening (parachute jump)
HAM, Amateur radio operator
HANS, Head And Neck Support (device used in many race cars)
HARM, High-speed Anti-Radiation Missile
hat, Haitian Creole language (ISO 639-2 code)
HAT,(i/a) Highest Astronomical Tide (nautical charts) -  Hungarian Automated Telescope
hau, Hausa language (ISO 639-2 code)
HAW, Heavy Antitank Weapon
HAWK, Homing All the Way Killer (air defence system)
HAZ, Heat-Affected Zone
HAZMAT, Hazardous Materials
HBCD, HexaBromoCycloDodecane
HBCI, Home Banking Computer Interface
HBO, Home Box Office
HBR, Harvard Business Review
HBT, Heterojunction Bipolar Transistor
HBV, Hepatitis B Virus
HCCI, Homogeneous Charge Compression Ignition
HCF, Highest Common Factor
HCI, Human-Computer Interaction/Interface
HCSC, Higher Command and Staff Course
HCT," Higher Colleges of Technology, tertiary education institution in the United Arab Emirates (UAE)"
HDL, High-Density Lipoprotein
HDM, Human Decision-Making
HDMI,High Definition Multimedia Interface
HDRA, Henry Doubleday Research Association
HDTV, High-Definition Television
he, Hebrew language (ISO 639-1 code)
He, Helium
HE, High Explosive
HEAT, High Explosive Anti-Tank (ammunition)
heb, Hebrew language (ISO 639-2 code)
HEBA, Hellenic Basketball Clubs Association
HEER, High-Explosive Extended Range (ammunition)
HEIC, Honourable East India Company
HEMP, High-Altitude Electromagnetic Pulse
HEOSS, High Earth Orbit Space Surveillance
HEP, High-Explosive Plastic (ammunition)
HEPA,(a/i) High-Efficiency Particulate Air (filter)
her, Herero language (ISO 639-2 code)
HESH," High-Explosive, Squash-Head (ammunition)"
HESV, Heavy Engineering Support Vehicle
HETT, Heavy Equipment Transporting Truck / Heavy Equipment Truck Tractor
HEU, Highly Enriched Uranium
Hewitts," Hills in England, Wales and Ireland over Two Thousand feet (with topographic prominence of at least 30 m)"
Hf, Hafnium
HF, High Frequency
HFAC," Human Factors (""aytchfak"")"
HFE, Human Fertilisation and Embryology (UK Act)
